obsid,siteid,plot,date_sampled,sciname ,diameter,condition
1,1,A,6/13/11,Abies lasiocarpa,31.84,normal
2,1,A,6/13/11,Picea engelmannii,3.21,dry
3,1,A,6/13/11,Picea engelmannii,7.2,dry
4,1,A,6/13/11,Picea engelmannii,11.62,dry
5,1,A,6/13/11,Picea engelmannii,11.25,dry
6,1,A,6/13/11,Picea engelmannii,13.16,normal
7,1,A,6/13/11,Picea engelmannii,18.6,normal
8,1,A,6/13/11,Picea engelmannii,23.62,dry
9,1,A,6/13/11,Picea engelmannii,31.75,normal
10,1,A,6/13/11,Picea engelmannii,33.27,dry
11,1,A,6/13/11,Picea engelmannii,36.52,dry
12,1,A,6/13/11,Picea engelmannii,60.59,normal
13,1,A,6/13/11,Sambucus racemosa,3.83,dry
14,1,A,6/13/11,Pseudotsuga menziesii,0.75,dry
15,1,A,6/13/11,Pseudotsuga menziesii,17.51,normal
16,1,A,6/13/11,Pseudotsuga menziesii,20.56,normal
17,1,A,6/13/11,Pseudotsuga menziesii,49.51,dry
18,1,A,6/13/11,Jamesia americana,1.8,dry
19,1,A,6/13/11,Abies lasiocarpa,3.71,normal
20,1,A,6/13/11,Abies lasiocarpa,4.51,dry
21,1,A,6/13/11,Abies lasiocarpa,6.2,normal
22,1,A,6/13/11,Abies lasiocarpa,8.06,dry
23,1,A,6/13/11,Abies lasiocarpa,14.6,dry
24,1,A,6/13/11,Abies lasiocarpa,16.12,normal
25,1,A,6/13/11,Abies lasiocarpa,19.53,normal
26,1,A,6/13/11,Abies lasiocarpa,16.33,dry
27,1,A,6/13/11,Abies lasiocarpa,23.43,dry
28,1,A,6/13/11,Abies lasiocarpa,27.1,normal
29,1,A,6/13/11,Abies lasiocarpa,29.03,dry
30,1,A,6/13/11,Abies lasiocarpa,30.05,normal
31,1,A,6/13/11,Picea engelmannii,28.02,dry
32,1,A,6/10/12,Abies lasiocarpa,31.88,normal
33,1,A,6/10/12,Picea engelmannii,4.36,dry
34,1,A,6/10/12,Picea engelmannii,8.52,dry
35,1,A,6/10/12,Picea engelmannii,49.95,dry
36,1,A,6/10/12,Picea engelmannii,1.18,dry
37,1,A,6/10/12,Picea engelmannii,4.29,normal
38,1,A,6/10/12,Picea engelmannii,3.13,normal
39,1,A,6/10/12,Picea engelmannii,8.67,dry
40,1,A,6/10/12,Picea engelmannii,9.83,dry
41,1,A,6/10/12,Picea engelmannii,11.77,normal
42,1,A,6/10/12,Picea engelmannii,15.05,normal
43,1,A,6/10/12,Picea engelmannii,22.62,dry
44,1,A,6/10/12,Sambucus racemosa,17.04,dry
45,1,A,6/10/12,Pseudotsuga menziesii,49.25,normal
46,1,A,6/10/12,Pseudotsuga menziesii,2.12,dry
47,1,A,6/10/12,Pseudotsuga menziesii,4.5,normal
48,1,A,6/10/12,Pseudotsuga menziesii,5.04,dry
49,1,A,6/10/12,Jamesia americana,5.55,dry
50,1,A,6/10/12,Abies lasiocarpa,8.93,normal
51,1,A,6/10/12,Abies lasiocarpa,13.23,dry
