"FMID","MarketName","Website","street","city","County","State","zip","Season1Date","Season1Time","Season2Date","Season2Time","Season3Date","Season3Time","Season4Date","Season4Time","x","y","Location","Credit","WIC","WICcash","SFMNP","SNAP","Bakedgoods","Cheese","Crafts","Flowers","Eggs","Seafood","Herbs","Vegetables","Honey","Jams","Maple","Meat","Nursery","Nuts","Plants","Poultry","Prepared","Soap","Trees","Wine","updateTime"
1005969,"""Y Not Wednesday Farmers Market at Town Center""","http://www.sandlercenter.org/index/ynotwednesdays","201 Market Street,","Virginia Beach","Virginia Beach","Virginia",23462,"June to August","Wed:5:00 PM - 8:00 PM;",,,,,,,-76.135361,36.841885,"Other","Y","N","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","N","N","N","N","N","N","Y","Y","N","Y",5/5/2012 17:56
1008044,"10:10 Farmers Market","http://www.1010farmersmarket.com","5960 Stewart Parkway","Douglasville","Douglas","Georgia",30135,"January to December","Thu:4:00 pm - 7:00 pm;",,,,,,,-84.7689,33.7196,"Faith-based institution (e.g., church, mosque, synagogue, temple)","Y","N","N","N","N","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","N",7/18/2012 13:51
1000618,"100-Mile Market","http://www.peoplesfoodco-op.org/","507 Harrison Street","Kalamazoo","Kalamazoo","Michigan",49007,"05/01/2013 to 10/30/2013","Wed: 3:00 PM-7:00 PM;",,,,,,,-85.57502,42.29596,"Private business parking lot","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","N","Y","N","N","N",7/1/2013 23:29
1002454,"112st Madison Avenue",,"112th Madison Avenue","New York","New York","New York",10029,"July to November","Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;",,,,,,,-73.9493,40.7939,"Private business parking lot","Y","N","Y","Y","Y","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","N","N","Y","N","N","Y","Y","N","N",3/1/2012 10:38
1005586,"12th & Brandywine Urban Farm Market",,"12th & Brandywine Streets","Wilmington","New Castle","Delaware",19801,"06/17/2013 to 10/14/2013","Mon: 4:00 PM-7:00 PM;",,,,,,,-75.534417,39.7421,"On a farm from: a barn, a greenhouse, a tent, a stand, etc","Y","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",6/13/2013 13:33
1008071,"14&U Farmers' Market",,"1400 U Street NW","Washington","District of Columbia","District of Columbia",20009,"05/04/2013 to 11/23/2013","Sat: 9:00 AM-1:00 PM;",,,,,,,-77.03205,38.916998,"Other","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","Y","N","Y","N","Y","N","N","Y","Y","N","N","N","N",6/10/2013 23:31
1007098,"17 on the Square",,"17 Lincoln Square","Gettysburg","Adams","Pennsylvania",17325,,,,,,,,,-77.2316,39.8313,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1000059,"175th Street Greenmarket","http://www.grownyc.org","W 175 St. & Broadway","New York","New York","New York",10033,"06/27/2013 to 11/21/2013","Thu: 8:00 AM-5:00 PM;",,,,,,,-73.9385,40.8462,"Other","Y","Y","Y","Y","Y","Y","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N",7/24/2013 11:08
1003877,"17th Ave Market","http://www.iatp.org/minimarkets","1622 6th St NE","Minneapolis","Hennepin","Minnesota",55413,"June to September","Wed:3:00 pm - 7:00 pm;",,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",4/28/2011 14:33
1002619,"17th Street Farmers Market","http://www.17thstreetfarmersmarket.com","17th & Main Streets","Richmond","Henrico","Virginia",23219,,,,,,,,,-77.4886,37.5583,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1000709,"19th Annual Highlands Business Partnership Farmers Market","http://www.highlandsnj.com","71 Waterwitch Avenue","Highlands","Monmouth","New Jersey",7732,"06/29/2013 to 11/02/2013","Sat: 8:30 AM-2:00 PM;",,,,,,,-73.994358,40.404837,"Local government building grounds","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","Y","N","N","Y","N","N",6/26/2013 15:04
1003233,"2012 Wood County Farmers' Market",,"555 W. Grand Ave.","Wisconsin Rapids","Wood","Wisconsin",54495,"06/06/2013 to 10/31/2013","Thu: 9:00 AM-5:00 PM;Sat: 8:00 AM-12:00 PM;",,,,,,,-89.83105,44.394902,"Private business parking lot","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","N","N",6/10/2013 12:45
1005309,"22nd and Tasker Farmers' Market","http://www.foodtrustmarkets.org/markets.html","22nd and Tasker Streets","Philadelphia","Philadelphia","Pennsylvania",19146,,"Tue: 2:00 PM-6:00 PM;",,,,,,,-75.18142,39.93216,"Other","Y","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6/28/2013 15:59
1006576,"25th Avenue Farmers' Market","http://www.pcfma.com/market_home.php?market_id=40","194 W 25th Avenue","San Mateo","San Mateo","California",94403,"May to October","Tue:4:00 PM - 7:30 PM;",,,,,,,-122.3098753,37.5433429,"Private business parking lot","Y","Y","N","Y","Y","Y","N","N","Y","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N",6/13/2012 11:32
1005299,"29th and Wharton Farmers' Market","http://www.foodtrustmarkets.org/graysferry.html","29th and Wharton Streets","Philadelphia","Philadelphia","Pennsylvania",19146,,"Tue: 2:00 PM-6:00 PM;",,,,,,,-75.19204,39.9373,"Other","Y","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6/28/2013 16:19
1000380,"2nd Street Public Market","http://www.secondstreetpublicmarket.com","2003 2nd Street","Tillamook","Tillamook","Oregon",97141,,,,,,,,,-123.844,45.4569,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","May 20 2010 6:29PM"
1004950,"3 French Hens French Country Market","http://www.3frenchhensmarket.blogspot.com","123 W. Illinois ave.","Morris","Grundy","Illinois",60450,"05/11/2013 to 10/12/2013","Sat: 8:00 AM-2:00 PM;",,,,,,,-88.425153,41.356286,"Other","Y","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N",6/17/2013 12:58
1005636,"32nd Street/Waverly Farmers Market","http://www.32ndstreetmarket.org","E. 32nd & Barclay Street","Baltimore","Baltimore","Maryland",21218,"01/01/2013 to 12/31/2013","Sat: 7:00 AM-12:00 PM;",,,,,,,-76.611,39.3272,"Closed-off public street","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","N","N","N",6/27/2013 13:44
1005310,"33rd and Diamond Farmers' Market","http://www.foodtrustmarkets.org/markets.html","N 33rd and Diamond Streets","Philadelphia","Philadelphia","Pennsylvania",19121,,"Tue: 2:00 PM-6:00 PM;",,,,,,,-75.18706,39.98867,"Other","Y","Y","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6/28/2013 15:57
1003161,"38th & Meridian Farmers Market",,"3808 North Meridian Street","Indianapolis","Marion","Indiana",46208,"June to October","Thu:4:00 PM - 6:30 PM;",,,,,,,-86.15875,39.82604,"Faith-based institution (e.g., church, mosque, synagogue, temple)","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","Y","Y","Y","N","N",4/30/2012 10:26
1004414,"3rd & Curry St. Farmers Market","http://www.carsonfarmersmarket.com","3rd & Curry Street","Carson City","Carson City","Nevada",89703,"June to September","Sat:8:30 AM - 1:30 PM;",,,,,,,-119.7678,39.16257,"Local government building grounds","Y","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","N",5/18/2012 16:12
1002860,"3rd Street N (hwy 11) beside jack's Restaurant",,"3rd St N (Hwy 11) beside Jack's Restaurant","Attalla","Etowah","Alabama",39554,"06/06/2013 to 09/26/2013","Thu: 2:00 PM-6:00 PM;",,,,,,,-86.090988,34.019132,"Local government building grounds","Y","N","N","Y","N","Y","N","N","Y","Y","N","Y","Y","N","Y","N","N","N","N","N","N","N","Y","N","N",7/11/2013 13:43
1006234,"4th Street Farmers Market","http://www.4thstreetfarmersmarket.com","315 East 4th St.","Larimer",,"Colorado",,,,,,,,,,-105.073,40.3954,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2011
1006494,"52 & Shadeland Avenue Farmers Market",,"5200 N. Shadeland Avenue","Indianapolis",,"Indiana",46226,,,,,,,,,-86.0476,39.8481,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",2009
1005304,"52nd and Haverford Farmers' Market","http://www.foodtrustmarkets.org/markets.html","N 52nd Street and Haverford Avenue","Philadelphia","Philadelphia","Pennsylvania",19139,,"Wed: 1:00 PM-5:00 PM;Fri: 1:00 PM-5:00 PM;",,,,,,,-75.22461,39.96498,"Other","Y","Y","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6/28/2013 16:10
1000060,"57th Street Greenmarket","http://www.grownyc.org","W 57 St. & 9 Ave","New York","New York","New York",10019,"04/20/2013 to 12/21/2013","Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;",,,,,,,-73.9858,40.7682,"Other","Y","Y","Y","Y","Y","Y","Y","N","N","Y","N","N","Y","N","N","N","Y","N","N","N","Y","N","N","N","N",7/24/2013 11:06
1005306,"58th and Chester Farmers' Market","http://www.foodtrustmarkets.org/markets.html","58th Street and Chester Avenue","Philadelphia","Philadelphia","Pennsylvania",19143,,"Wed: 2:00 PM-6:00 PM;",,,,,,,-75.228324,39.935556,"Other","Y","Y","N","Y","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6/28/2013 16:02
1007272,"5th Street Farmers Market",,"5th and Main Street","Millersburg","Bourbon","Kentucky",40348,,,,,,,,,-84.1487,38.3004,,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",6/14/2013 11:23
1002678,"61st Street Farmers Market","http://www.experimentalstation.org/farmers-market","6100 S Blackstone","Chicago","Cook","Illinois",60637,"05/11/2013 to 12/14/2013","Sat: 9:00 AM-2:00 PM;",,,,,,,-87.591308,41.784206,"Closed-off public street","Y","Y","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","N",6/12/2013 12:24
1004249,"6701 Burnet Road Market","http://www.6701burnetroadmarket.com","6701 Burnet Road Market","Austin","Austin","Texas",78757,,,,,,,,,-97.7018,30.4258,"Private business parking lot","Y","Y","N","N","N","Y","Y","Y","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","Y","Y","N","N",1/22/2012 18:36
1000061,"79th Street Greenmarket","http://www.grownyc.org","Columbus - W 78 & 81 Sts.","New York","New York","New York",10024,"01/01/2013 to 12/31/2013","Sun: 8:00 AM-5:00 PM;",,,,,,,-73.9757,40.7818,"Other","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","N",7/24/2013 10:54
1000062,"82nd Street Greenmarket","http://www.grownyc.org","E 82nd St. - 1st & York Ave","New York","New York","New York",10028,"01/01/2013 to 12/31/2013","Sat: 9:00 AM-2:30 PM;",,,,,,,-73.9501,40.7737,"Other","Y","Y","Y","Y","Y","Y","Y","N","N","N","Y","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N",7/24/2013 10:50
1008391,"84 west farmers market (Dothan)",,,"Dothan","Houston","Alabama",,"06/06/2013 to 08/08/2013","Thu: 3:00 PM-6:00 PM;",,,,,,,-85.450141,31.232699,"Private business parking lot","Y","N","N","Y","N","Y","N","Y","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","Y","Y","N","N",6/24/2013 21:09
