"",".id","ScientificName","Rank","UID"
"1","Gadus morhua","cellular organisms","no rank","131567"
"2","Gadus morhua","Eukaryota","superkingdom","2759"
"3","Gadus morhua","Opisthokonta","no rank","33154"
"4","Gadus morhua","Metazoa","kingdom","33208"
"5","Gadus morhua","Eumetazoa","no rank","6072"
"6","Gadus morhua","Bilateria","no rank","33213"
"7","Gadus morhua","Deuterostomia","no rank","33511"
"8","Gadus morhua","Chordata","phylum","7711"
"9","Gadus morhua","Craniata","subphylum","89593"
"10","Gadus morhua","Vertebrata","no rank","7742"
"11","Gadus morhua","Gnathostomata","superclass","7776"
"12","Gadus morhua","Teleostomi","no rank","117570"
"13","Gadus morhua","Euteleostomi","no rank","117571"
"14","Gadus morhua","Actinopterygii","class","7898"
"15","Gadus morhua","Actinopteri","no rank","186623"
"16","Gadus morhua","Neopterygii","no rank","41665"
"17","Gadus morhua","Teleostei","no rank","32443"
"18","Gadus morhua","Elopocephala","no rank","186624"
"19","Gadus morhua","Clupeocephala","no rank","186625"
"20","Gadus morhua","Euteleostei","no rank","32447"
"21","Gadus morhua","Neognathi","no rank","186839"
"22","Gadus morhua","Neoteleostei","no rank","123365"
"23","Gadus morhua","Eurypterygii","no rank","123366"
"24","Gadus morhua","Ctenosquamata","no rank","123367"
"25","Gadus morhua","Acanthomorpha","no rank","123368"
"26","Gadus morhua","Euacanthomorpha","no rank","123369"
"27","Gadus morhua","Holacanthopterygii","no rank","123370"
"28","Gadus morhua","Paracanthopterygii","superorder","32518"
"29","Gadus morhua","Gadiformes","order","8043"
"30","Gadus morhua","Gadidae","family","8045"
"31","Gadus morhua","Gadus","genus","8048"
"32","Gadus morhua","Gadus morhua","species","8049"
"33","Thunnus albacares","cellular organisms","no rank","131567"
"34","Thunnus albacares","Eukaryota","superkingdom","2759"
"35","Thunnus albacares","Opisthokonta","no rank","33154"
"36","Thunnus albacares","Metazoa","kingdom","33208"
"37","Thunnus albacares","Eumetazoa","no rank","6072"
"38","Thunnus albacares","Bilateria","no rank","33213"
"39","Thunnus albacares","Deuterostomia","no rank","33511"
"40","Thunnus albacares","Chordata","phylum","7711"
"41","Thunnus albacares","Craniata","subphylum","89593"
"42","Thunnus albacares","Vertebrata","no rank","7742"
"43","Thunnus albacares","Gnathostomata","superclass","7776"
"44","Thunnus albacares","Teleostomi","no rank","117570"
"45","Thunnus albacares","Euteleostomi","no rank","117571"
"46","Thunnus albacares","Actinopterygii","class","7898"
"47","Thunnus albacares","Actinopteri","no rank","186623"
"48","Thunnus albacares","Neopterygii","no rank","41665"
"49","Thunnus albacares","Teleostei","no rank","32443"
"50","Thunnus albacares","Elopocephala","no rank","186624"
"51","Thunnus albacares","Clupeocephala","no rank","186625"
"52","Thunnus albacares","Euteleostei","no rank","32447"
"53","Thunnus albacares","Neognathi","no rank","186839"
"54","Thunnus albacares","Neoteleostei","no rank","123365"
"55","Thunnus albacares","Eurypterygii","no rank","123366"
"56","Thunnus albacares","Ctenosquamata","no rank","123367"
"57","Thunnus albacares","Acanthomorpha","no rank","123368"
"58","Thunnus albacares","Euacanthomorpha","no rank","123369"
"59","Thunnus albacares","Holacanthopterygii","no rank","123370"
"60","Thunnus albacares","Acanthopterygii","superorder","32455"
"61","Thunnus albacares","Euacanthopterygii","no rank","129947"
"62","Thunnus albacares","Percomorpha","no rank","32485"
"63","Thunnus albacares","Perciformes","order","8111"
"64","Thunnus albacares","Scombroidei","suborder","8223"
"65","Thunnus albacares","Scombridae","family","8224"
"66","Thunnus albacares","Scombrinae","subfamily","186745"
"67","Thunnus albacares","Thunnini","tribe","186749"
"68","Thunnus albacares","Thunnus","genus","8234"
"69","Thunnus albacares","Thunnus albacares","species","8236"
"70","Ostreola conchaphila","cellular organisms","no rank","131567"
"71","Ostreola conchaphila","Eukaryota","superkingdom","2759"
"72","Ostreola conchaphila","Opisthokonta","no rank","33154"
"73","Ostreola conchaphila","Metazoa","kingdom","33208"
"74","Ostreola conchaphila","Eumetazoa","no rank","6072"
"75","Ostreola conchaphila","Bilateria","no rank","33213"
"76","Ostreola conchaphila","Protostomia","no rank","33317"
"77","Ostreola conchaphila","Lophotrochozoa","no rank","1206795"
"78","Ostreola conchaphila","Mollusca","phylum","6447"
"79","Ostreola conchaphila","Bivalvia","class","6544"
"80","Ostreola conchaphila","Pteriomorphia","subclass","6545"
"81","Ostreola conchaphila","Ostreoida","order","6562"
"82","Ostreola conchaphila","Ostreoidea","superfamily","98302"
"83","Ostreola conchaphila","Ostreidae","family","6563"
"84","Ostreola conchaphila","Ostrea","genus","37858"
"85","Ostreola conchaphila","Ostrea conchaphila","species","74445"
"86","Todarodes pacificus","cellular organisms","no rank","131567"
"87","Todarodes pacificus","Eukaryota","superkingdom","2759"
"88","Todarodes pacificus","Opisthokonta","no rank","33154"
"89","Todarodes pacificus","Metazoa","kingdom","33208"
"90","Todarodes pacificus","Eumetazoa","no rank","6072"
"91","Todarodes pacificus","Bilateria","no rank","33213"
"92","Todarodes pacificus","Protostomia","no rank","33317"
"93","Todarodes pacificus","Lophotrochozoa","no rank","1206795"
"94","Todarodes pacificus","Mollusca","phylum","6447"
