"","year","nest.identity","season","clutch.size","mean.egg.volume","chick.identity","laying.order","egg.volume","relative.egg.volume","chick.hatched.","hatching.asynchrony","time.to.return","sex","paternity","mass1","mass2","mass3","mass4","mass5","mass6","mass7","mass8","mass9","mass10","mass11","mass12","mass13","tarsus.length..mm..at.brood.age.13","nestling.survival","recruitment"
"1",2001,1,0,6,1578.67,1,3,1627.59,48.92,"yes",0,2,"female","social",1.75,3,5,6.5,8.5,10,10,12.5,12.75,14.25,15.5,15.25,14.25,20.4,"dead","notrecruited"
"2",2001,1,0,6,1578.67,2,2,1548.44,-30.23,"yes",1,0.25,"female","social",1.75,3,4.75,6,8,10,10,12.25,12.25,13.25,15,14.75,12.25,19.6,"dead","notrecruited"
"3",2001,1,0,6,1578.67,3,1,1480.49,-98.18,"yes",4.5,1.5,"male","social",1.5,2.5,4,5,7,9.25,9.25,12,12.5,14.75,15.25,15.75,12.5,20.11,"dead","notrecruited"
"4",2001,1,0,6,1578.67,4,4,1592.54,13.87,"yes",5,0.75,"male","social",1.5,2.5,4.25,5.5,7.75,9.5,9.5,12.25,12.5,14.75,15.75,15.5,13.25,20.04,"dead","notrecruited"
"5",2001,1,0,6,1578.67,5,5,1641.64,62.97,"yes",17,2.25,"female","social",NA,2.5,4,5.25,7.75,9.5,9.5,11.5,11.75,13.75,14.75,13.75,12.5,20.13,"dead","notrecruited"
"6",2001,1,0,6,1578.67,6,6,1581.34,2.67,"yes",23.75,2.5,"","",NA,1.25,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"7",2001,2,-2,6,1469.15,7,1,1460.3,-8.85,"yes",0,1.75,"male","extra",1.75,3.25,5,7.25,10,12.25,13.75,14.5,16.5,16,15.5,14.75,12.75,18.86,"dead","notrecruited"
"8",2001,2,-2,6,1469.15,8,2,1433.7,-35.45,"yes",0,1.75,"male","social",2,2.75,4.75,7.25,10,12,13.5,15.25,15.25,16,13.75,12.5,11.25,19.24,"dead","notrecruited"
"9",2001,2,-2,6,1469.15,9,3,1489.31,20.16,"yes",5.5,3.25,"male","extra",1.5,2.5,4.5,6.25,8.75,10.75,12.5,14.75,14.75,15.5,13.5,12.75,11.75,19.5,"dead","notrecruited"
"10",2001,2,-2,6,1469.15,10,4,1530.63,61.48,"yes",9.25,1.25,"male","social",1.75,2.75,3.75,5.25,7,8,10.25,12.25,14,15,13.25,13.5,12,18.82,"dead","notrecruited"
"11",2001,2,-2,6,1469.15,11,5,1451.87,-17.28,"yes",26.5,2,"female","social",NA,1.5,2,2.25,3.5,4.25,5,6.25,8,8.5,7.75,NA,NA,NA,"dead","notrecruited"
"12",2001,2,-2,6,1469.15,12,6,1449.07,-20.08,"no",NA,NA,"male","social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"13",2001,3,-1,6,1674.17,13,2,1641.59,-32.58,"yes",0,1.5,"male","extra",1.5,2.5,3.75,5,7,8.5,10.75,13,14,15.75,15,14,12.75,19.83,"fledged","notrecruited"
"14",2001,3,-1,6,1674.17,14,1,1575.92,-98.25,"yes",2.75,1,"male","extra",1.25,2,3.5,4.25,6.75,8,10.25,12,13.25,15.25,14,14,12.5,19.9,"fledged","notrecruited"
"15",2001,3,-1,6,1674.17,15,5,1654.95,-19.22,"yes",14.75,3,"female","social",NA,2.25,3,4.25,6,7,8,10.25,12.25,14.25,13.75,12.75,11,19.88,"dead","notrecruited"
"16",2001,3,-1,6,1674.17,16,3,1703.65,29.48,"yes",16.5,1.25,"female","extra",NA,2.5,3.5,4.25,6.75,7.5,10,11.5,13.5,15.25,15,13,12.25,20.25,"fledged","notrecruited"
"17",2001,3,-1,6,1674.17,17,6,1803.4,129.23,"yes",25.75,0.75,"male","social",NA,1.5,2.25,2.25,3.25,3.25,4,4.5,5.75,7.25,7.25,7,NA,NA,"dead","notrecruited"
"18",2001,3,-1,6,1674.17,18,4,1665.53,-8.64,"no",NA,NA,"female","extra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
